strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
visibility_aware,41,3972.0,568,111,0.595,1,3,6.0,0.805,8,8,3
visibility_aware,42,3512.6000000000004,556,115,0.723,1,0,5.71,0.793,10,9,3
visibility_aware,43,3714.5,590,104,0.726,0,0,5.23,0.824,8,6,3
visibility_aware,44,5362.4,585,106,0.699,0,1,6.46,0.819,9,7,3
visibility_aware,45,3917.8,565,113,0.624,0,2,6.15,0.8,7,7,3
visibility_aware,46,4578.6,507,132,0.724,3,1,4.87,0.74,9,8,3
visibility_aware,47,5293.200000000001,584,106,0.696,1,0,6.47,0.818,7,4,3
visibility_aware,48,3826.6000000000004,586,105,0.57,0,1,6.16,0.821,8,7,3
visibility_aware,49,4561.6,559,114,0.743,0,1,5.86,0.796,9,8,3
preempt_score,0,4495.6,595,102,0.69,1,3,6.55,0.829,7,7,3
preempt_score,1,2364.5,610,97,0.71,0,2,6.28,0.841,3,3,3
preempt_score,2,3124.8,541,120,0.649,1,4,5.89,0.778,8,6,3
preempt_score,3,3374.4,610,97,0.511,0,1,5.43,0.841,7,6,3
preempt_score,4,4431.0,532,123,0.674,2,6,5.24,0.769,10,9,3
preempt_score,5,4609.2,534,123,0.634,0,1,5.49,0.77,11,9,3
preempt_score,6,5702.3,591,104,0.753,0,0,6.04,0.824,4,4,3
preempt_score,7,4125.400000000001,523,126,0.673,3,8,5.99,0.759,8,7,3
preempt_score,8,3276.3,583,106,0.629,0,4,5.82,0.818,9,8,3
preempt_score,9,5967.1,571,110,0.676,0,1,6.42,0.807,9,7,3
preempt_score,10,5733.6,622,93,0.639,0,1,6.85,0.85,6,5,3
preempt_score,11,8139.6,598,101,0.432,0,1,6.52,0.831,6,6,3
preempt_score,12,4493.6,544,119,0.635,0,8,6.89,0.781,8,8,3
preempt_score,13,4630.0,562,113,0.606,0,1,5.65,0.799,7,6,3
preempt_score,14,4152.200000000001,610,97,0.526,0,0,5.77,0.841,4,4,2
preempt_score,15,3221.1000000000004,502,133,0.643,1,3,5.76,0.735,12,10,3
preempt_score,16,4015.2000000000003,643,86,0.62,0,1,7.82,0.866,3,1,2
preempt_score,17,6338.6,526,125,0.604,0,2,5.65,0.762,10,9,3
preempt_score,18,4445.6,487,138,0.634,0,7,6.12,0.717,13,11,3
preempt_score,19,4213.0,512,130,0.739,1,1,5.2,0.746,10,9,3
preempt_score,20,4101.5,556,115,0.654,2,2,5.52,0.793,8,6,3
preempt_score,21,3977.0,565,112,0.641,0,0,6.0,0.802,8,7,3
preempt_score,22,5368.2,574,109,0.627,0,0,4.93,0.81,11,9,3
preempt_score,23,3587.0,559,114,0.592,0,2,5.56,0.796,11,10,3
preempt_score,24,5330.700000000001,528,125,0.651,1,3,6.05,0.763,8,5,3
preempt_score,25,5079.8,523,127,0.675,2,2,5.61,0.757,7,4,3
preempt_score,26,6062.2,493,137,0.692,1,9,6.78,0.722,14,13,3
