strategy,seed,reward,steps,actions,idle_ratio,expired,clear_asm,serve_gap,none_ratio,stockpile_in,stockpile_out,stockpile_max
delay_aware_v3,10,5026.200000000001,595,102,0.622,2,2,6.24,0.829,8,8,3
delay_aware_v3,11,7833.6,571,110,0.386,0,1,5.92,0.807,8,8,3
delay_aware_v3,12,5394.5,514,129,0.579,4,3,5.62,0.749,13,10,3
delay_aware_v3,13,4341.3,511,130,0.509,2,3,6.14,0.746,12,9,3
delay_aware_v3,14,5087.4,628,91,0.519,0,0,6.69,0.855,4,3,1
delay_aware_v3,15,4418.7,532,123,0.671,2,1,4.99,0.769,10,10,3
delay_aware_v3,16,5047.0,550,117,0.51,0,1,6.02,0.787,13,11,3
delay_aware_v3,17,5299.6,544,119,0.612,2,2,6.3,0.781,10,9,3
delay_aware_v3,18,5477.6,475,142,0.584,4,4,5.5,0.701,12,11,3
delay_aware_v3,19,4915.4,487,138,0.674,3,2,5.4,0.717,15,13,3
delay_aware_v3,20,4486.3,511,131,0.626,0,2,5.15,0.744,15,14,3
delay_aware_v3,21,4117.4,508,131,0.577,2,2,5.74,0.742,12,10,3
delay_aware_v3,22,4458.4,522,127,0.571,0,4,5.17,0.757,16,14,3
delay_aware_v3,23,4376.6,553,116,0.511,4,2,5.26,0.79,10,9,3
delay_aware_v3,24,4737.9,469,144,0.587,6,6,5.79,0.693,16,13,3
delay_aware_v3,25,4732.9,496,135,0.686,4,1,5.33,0.728,11,10,3
delay_aware_v3,26,5733.5,409,164,0.604,2,10,5.89,0.599,20,17,3
delay_aware_v3,27,5037.0,505,132,0.518,6,3,5.99,0.739,12,11,3
delay_aware_v3,28,5171.5,562,113,0.621,0,1,5.57,0.799,9,9,3
delay_aware_v3,29,4382.0,537,122,0.68,3,3,6.63,0.773,14,12,3
delay_aware_v3,30,3486.0,622,93,0.594,2,1,7.51,0.85,7,4,3
delay_aware_v3,31,5274.4,505,132,0.722,2,2,5.66,0.739,11,10,3
delay_aware_v3,32,4266.8,497,135,0.648,4,0,4.93,0.728,15,13,3
delay_aware_v3,33,6005.4,529,124,0.654,2,1,5.66,0.766,10,9,3
delay_aware_v3,34,4848.5,556,115,0.586,1,2,5.92,0.793,10,9,3
delay_aware_v3,35,4184.8,540,121,0.587,0,4,4.91,0.776,12,11,3
delay_aware_v3,36,3346.0,483,140,0.567,3,2,5.24,0.71,15,14,3
delay_aware_v3,37,6840.6,538,121,0.634,1,4,6.4,0.775,13,12,3
delay_aware_v3,38,3700.4,559,114,0.422,0,6,6.0,0.796,9,9,2
delay_aware_v3,39,4694.6,496,135,0.627,1,0,4.45,0.728,13,12,3
delay_aware_v3,40,5471.4,571,110,0.583,0,2,5.78,0.807,12,10,3
delay_aware_v3,41,3976.0,524,126,0.512,1,2,5.17,0.76,14,11,3
delay_aware_v3,42,2816.0,568,111,0.681,6,0,6.07,0.805,11,10,3
delay_aware_v3,43,3471.5,520,127,0.622,5,3,4.46,0.756,12,12,3
delay_aware_v3,44,5821.4,565,113,0.651,2,3,6.5,0.8,9,6,3
delay_aware_v3,45,5748.3,510,131,0.546,2,2,6.3,0.743,16,14,3
